"ADROIT PMS SERVICES PVT LTD
As of: 30/06/2020",,,,,,,,,,,,,
Portfolio Manager:  ADROIT FUND MANAGER,,,,,,,,,Portfolio Holdings,,,,
,,,,,,,,,Sr.,Security,Sector,Mkt Value,%Assets
Strategy:  ADROITPMS1,,,,,,,,,1,RBL BANK LIMITED,BANKS,"71,422",4.84%
Account:  6010001 - RUBY DECOSTA   - ADT001,,,,,,,,,2,HDFC Life Insurance Company Ltd,MISCELLANEOUS,"131,081",8.88%
Inception Date:  01/01/2020,,,,,,,,,3,AXIS BANK LIMITED,FINANCE,"166,760",11.30%
"Investment Objective
",,,,,,,,,4,BAJAJ FINANCE LIMITED,FINANCE,"172,832",11.71%
,,,,,,,,,5,BANK OF BARODA,FINANCE,"70,899",4.80%
,,,,,,,,,6,BANK OF INDIA,FINANCE,"62,272",4.22%
Sector Allocation ,,,,,,,,,,,,,
,,,,,,,,,7,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,FINANCE,"9,630",0.65%
Sr.,,,Sector,,,,Assets (%),,,,,,
1,,,BANKS,,,,4.84%,,,,,,
,,,,,,,,,8,FEDERAL BANK LIMITED,FINANCE,"56,115",3.80%
2,,,MISCELLANEOUS,,,,8.88%,,,,,,
,,,,,,,,,9,GEOJIT FINANCIAL SERVICES LIMITED,FINANCE,"55,448",3.76%
3,,,FINANCE,,,,88.69%,,,,,,
,,,,,,,,,10,HDFC BANK LIMITED,FINANCE,"38,786",2.63%
4,,,OTHERS,,,,5.99%,,,,,,
,,,,,,,,,11,ICICI BANK LIMITED,FINANCE,"263,426",17.85%
5,,,FINANCE,,,,4.67%,,,,,,
,,,,,,,,,12,KOTAK MAHINDRA BANK LIMITED,FINANCE,"213,986",14.50%
6,,,Futures,,,,"3,326.80%",,,,,,
,,,,,,,,,13,ORIENTAL BANK OF COMMERCE,FINANCE,"41,960",2.84%
7,,,FINANCE,,,,"-1,693.19%",,,,,,
,,,,,,,,,14,STATE BANK OF INDIA LIMITED,FINANCE,"134,055",9.08%
8,,,INDUSTRIALS,,,,"-1,633.61%",,,,,,
,,,,,,,,,15,YES BANK LIMITED,FINANCE,"22,648",1.53%
9,,,Cash and Equivalent,,,,-13.13%,,,,,,
,,,,,,,,,16,UJJIVAN FINANCIAL,OTHERS,"88,346",5.99%
10,,,Dividend / Interest receivable,,,,0.05%,,,,,,
,,,,,,,,,17,EDELWEISS FINANCIAL SERVICES LIMITED,FINANCE,"68,966",4.67%
,,,Total,,,,100%,,,,,,
,,,,,,,,,18,Notional Amount Adj.,Futures,"49,094,352","3,326.80"
,,,,,,,,,19,HOUSING DEVELOPMENT FINANCE CORPORATION LTD - 30/07/2020,FINANCE,"-24,986,831","-1,693.19"
Portfolio Summary,,,,,,,,,,,,,
Since 01/01/2020,,,,,Amount(INR),,,,,,,,
,,,,,,,,,20,ESCORTS LIMITED - 30/07/2020,INDUSTRIALS,"-24,107,521","-1,633.61"
Contribution,,,,,"2,497,336",,,,,,,,
,,,,,,,,,21,Cash,Cash and Equivalent,"-193,692",-13.13%
Withdrawal,,,,,0,,,,,,,,
,,,,,,,,,22,Dividend / Interest receivable,Dividend / Interest receivable,782,0.05%
Profit/Loss,,,,,"-1,021,614",,,,,,,,
,,,,,,,,,,Total,,"1,475,722",100%
Portfolio Value(30/06/2020),,,,,"1,475,722",,,,,,,,
Performance(TWRR),,,,,,,,,,,,,
 ,, ,,MTD,QTD,YTD,,Since 01/01/20,,,,,
,,Portfolio,,-6.39%,-11.47%,-11.47%,,-40.91%,,,,,
,,NIFTY,,7.53%,19.82%,19.82%,,-15.34%,,,,,
,,BSE500,,8.24%,21.08%,21.08%,,-14.23%,,,,,
Portfolio returns are after management fees and other expenses. Return over 1 year period are annualised.,,,,,,,,,,,,,
"ADROIT PMS SERVICES PVT LTD, MUMBAI,MUMBAI-,MAHARASHTRA | Tel:",,,,,,,,,,,,,
 ,,,,,,,,,,,,,
  ,,,,,,,,,,,,,
"ADROIT PMS SERVICES PVT LTD
As of: 30/06/2020",,,,,,,,,,,,,
Portfolio Manager:  ADROIT FUND MANAGER,,,,,,,,,Portfolio Holdings,,,,
,,,,,,,,,Sr.,Security,Sector,Mkt Value,%Assets
Strategy:  ADROITPMS1,,,,,,,,,1,RBL BANK LIMITED,BANKS,"188,440",4.08%
Account:  6010002 - TONY RODRIGUES   - ADT002,,,,,,,,,2,HDFC Life Insurance Company Ltd,MISCELLANEOUS,"344,253",7.45%
Inception Date:  21/02/2020,,,,,,,,,3,AXIS BANK LIMITED,FINANCE,"466,170",10.09%
"Investment Objective
",,,,,,,,,4,BAJAJ FINANCE LIMITED,FINANCE,"210,501",4.55%
,,,,,,,,,5,BANK OF BARODA,FINANCE,"242,225",5.24%
,,,,,,,,,6,BANK OF INDIA,FINANCE,"157,123",3.40%
Sector Allocation ,,,,,,,,,,,,,
,,,,,,,,,7,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,FINANCE,"25,526",0.55%
Sr.,,,Sector,,,,Assets (%),,,,,,
1,,,BANKS,,,,4.08%,,,,,,
,,,,,,,,,8,FEDERAL BANK LIMITED,FINANCE,"147,493",3.19%
